Module	Section	Sample Name	Source
FastQC	all_sections	LALL-PD-KC2015-187-LB-30d-CS-16S_S14_L001_R2_001	/home/mark/gitstage/uderica/nordqiime/15_Hil_CS/Bacteria/16S/LALL-PD-KC2015-187-LB-30d-CS-16S_S14_L001_R2_001_fastqc.zip
FastQC	all_sections	LALL-PD-KC2015-182-LH-LB-30d-CS-16S_S11_L001_R2_001	/home/mark/gitstage/uderica/nordqiime/15_Hil_CS/Bacteria/16S/LALL-PD-KC2015-182-LH-LB-30d-CS-16S_S11_L001_R2_001_fastqc.zip
FastQC	all_sections	LALL-PD-KC2015-188-LB-30d-CS-16S_S15_L001_R1_001	/home/mark/gitstage/uderica/nordqiime/15_Hil_CS/Bacteria/16S/LALL-PD-KC2015-188-LB-30d-CS-16S_S15_L001_R1_001_fastqc.zip
FastQC	all_sections	LALL-PD-KC2015-206-LB-112d-CS-16S_S25_L001_R1_001	/home/mark/gitstage/uderica/nordqiime/15_Hil_CS/Bacteria/16S/LALL-PD-KC2015-206-LB-112d-CS-16S_S25_L001_R1_001_fastqc.zip
FastQC	all_sections	LALL-PD-KC2015-192-Control-112d-CS-16S_S17_L001_R1_001	/home/mark/gitstage/uderica/nordqiime/15_Hil_CS/Bacteria/16S/LALL-PD-KC2015-192-Control-112d-CS-16S_S17_L001_R1_001_fastqc.zip
FastQC	all_sections	LALL-PD-KC2015-198-LH-112d-CS-16S_S21_L001_R1_001	/home/mark/gitstage/uderica/nordqiime/15_Hil_CS/Bacteria/16S/LALL-PD-KC2015-198-LH-112d-CS-16S_S21_L001_R1_001_fastqc.zip
FastQC	all_sections	LALL-PD-KC2015-178-LH-30d-CS-16S_S9_L001_R2_001	/home/mark/gitstage/uderica/nordqiime/15_Hil_CS/Bacteria/16S/LALL-PD-KC2015-178-LH-30d-CS-16S_S9_L001_R2_001_fastqc.zip
FastQC	all_sections	LALL-PD-KC2015-148-Control-0d-CS-16S_S3_L001_R2_001	/home/mark/gitstage/uderica/nordqiime/15_Hil_CS/Bacteria/16S/LALL-PD-KC2015-148-Control-0d-CS-16S_S3_L001_R2_001_fastqc.zip
FastQC	all_sections	LALL-PD-KC2015-172-Control-30d-CS-16S_S5_L001_R1_001	/home/mark/gitstage/uderica/nordqiime/15_Hil_CS/Bacteria/16S/LALL-PD-KC2015-172-Control-30d-CS-16S_S5_L001_R1_001_fastqc.zip
FastQC	all_sections	LALL-PD-KC2015-183-LH-LB-30d-CS-16S_S12_L001_R1_001	/home/mark/gitstage/uderica/nordqiime/15_Hil_CS/Bacteria/16S/LALL-PD-KC2015-183-LH-LB-30d-CS-16S_S12_L001_R1_001_fastqc.zip
FastQC	all_sections	LALL-PD-KC2015-146-Control-0d-CS-16S_S1_L001_R2_001	/home/mark/gitstage/uderica/nordqiime/15_Hil_CS/Bacteria/16S/LALL-PD-KC2015-146-Control-0d-CS-16S_S1_L001_R2_001_fastqc.zip
FastQC	all_sections	LALL-PD-KC2015-191-Control-112d-CS-16S_S16_L001_R1_001	/home/mark/gitstage/uderica/nordqiime/15_Hil_CS/Bacteria/16S/LALL-PD-KC2015-191-Control-112d-CS-16S_S16_L001_R1_001_fastqc.zip
FastQC	all_sections	LALL-PD-KC2015-171-Control-30d-CS-16S_S4_L001_R1_001	/home/mark/gitstage/uderica/nordqiime/15_Hil_CS/Bacteria/16S/LALL-PD-KC2015-171-Control-30d-CS-16S_S4_L001_R1_001_fastqc.zip
FastQC	all_sections	LALL-PD-KC2015-178-LH-30d-CS-16S_S9_L001_R1_001	/home/mark/gitstage/uderica/nordqiime/15_Hil_CS/Bacteria/16S/LALL-PD-KC2015-178-LH-30d-CS-16S_S9_L001_R1_001_fastqc.zip
FastQC	all_sections	LALL-PD-KC2015-203-LH-LB-112d-CS-16S_S24_L001_R1_001	/home/mark/gitstage/uderica/nordqiime/15_Hil_CS/Bacteria/16S/LALL-PD-KC2015-203-LH-LB-112d-CS-16S_S24_L001_R1_001_fastqc.zip
FastQC	all_sections	LALL-PD-KC2015-202-LH-LB-112d-CS-16S_S23_L001_R1_001	/home/mark/gitstage/uderica/nordqiime/15_Hil_CS/Bacteria/16S/LALL-PD-KC2015-202-LH-LB-112d-CS-16S_S23_L001_R1_001_fastqc.zip
FastQC	all_sections	LALL-PD-KC2015-193-Control-112d-CS-16S_S18_L001_R1_001	/home/mark/gitstage/uderica/nordqiime/15_Hil_CS/Bacteria/16S/LALL-PD-KC2015-193-Control-112d-CS-16S_S18_L001_R1_001_fastqc.zip
FastQC	all_sections	LALL-PD-KC2015-186-LB-30d-CS-16S_S13_L001_R1_001	/home/mark/gitstage/uderica/nordqiime/15_Hil_CS/Bacteria/16S/LALL-PD-KC2015-186-LB-30d-CS-16S_S13_L001_R1_001_fastqc.zip
FastQC	all_sections	LALL-PD-KC2015-208-LB-112d-CS-16S_S27_L001_R1_001	/home/mark/gitstage/uderica/nordqiime/15_Hil_CS/Bacteria/16S/LALL-PD-KC2015-208-LB-112d-CS-16S_S27_L001_R1_001_fastqc.zip
FastQC	all_sections	LALL-PD-KC2015-208-LB-112d-CS-16S_S27_L001_R2_001	/home/mark/gitstage/uderica/nordqiime/15_Hil_CS/Bacteria/16S/LALL-PD-KC2015-208-LB-112d-CS-16S_S27_L001_R2_001_fastqc.zip
FastQC	all_sections	LALL-PD-KC2015-193-Control-112d-CS-16S_S18_L001_R2_001	/home/mark/gitstage/uderica/nordqiime/15_Hil_CS/Bacteria/16S/LALL-PD-KC2015-193-Control-112d-CS-16S_S18_L001_R2_001_fastqc.zip
FastQC	all_sections	LALL-PD-KC2015-188-LB-30d-CS-16S_S15_L001_R2_001	/home/mark/gitstage/uderica/nordqiime/15_Hil_CS/Bacteria/16S/LALL-PD-KC2015-188-LB-30d-CS-16S_S15_L001_R2_001_fastqc.zip
FastQC	all_sections	LALL-PD-KC2015-176-LH-30d-CS-16S_S7_L001_R1_001	/home/mark/gitstage/uderica/nordqiime/15_Hil_CS/Bacteria/16S/LALL-PD-KC2015-176-LH-30d-CS-16S_S7_L001_R1_001_fastqc.zip
FastQC	all_sections	LALL-PD-KC2015-182-LH-LB-30d-CS-16S_S11_L001_R1_001	/home/mark/gitstage/uderica/nordqiime/15_Hil_CS/Bacteria/16S/LALL-PD-KC2015-182-LH-LB-30d-CS-16S_S11_L001_R1_001_fastqc.zip
FastQC	all_sections	LALL-PD-KC2015-197-LH-112d-CS-16S_S20_L001_R2_001	/home/mark/gitstage/uderica/nordqiime/15_Hil_CS/Bacteria/16S/LALL-PD-KC2015-197-LH-112d-CS-16S_S20_L001_R2_001_fastqc.zip
FastQC	all_sections	LALL-PD-KC2015-148-Control-0d-CS-16S_S3_L001_R1_001	/home/mark/gitstage/uderica/nordqiime/15_Hil_CS/Bacteria/16S/LALL-PD-KC2015-148-Control-0d-CS-16S_S3_L001_R1_001_fastqc.zip
FastQC	all_sections	LALL-PD-KC2015-181-LH-LB-30d-CS-16S_S10_L001_R2_001	/home/mark/gitstage/uderica/nordqiime/15_Hil_CS/Bacteria/16S/LALL-PD-KC2015-181-LH-LB-30d-CS-16S_S10_L001_R2_001_fastqc.zip
FastQC	all_sections	LALL-PD-KC2015-191-Control-112d-CS-16S_S16_L001_R2_001	/home/mark/gitstage/uderica/nordqiime/15_Hil_CS/Bacteria/16S/LALL-PD-KC2015-191-Control-112d-CS-16S_S16_L001_R2_001_fastqc.zip
FastQC	all_sections	LALL-PD-KC2015-203-LH-LB-112d-CS-16S_S24_L001_R2_001	/home/mark/gitstage/uderica/nordqiime/15_Hil_CS/Bacteria/16S/LALL-PD-KC2015-203-LH-LB-112d-CS-16S_S24_L001_R2_001_fastqc.zip
FastQC	all_sections	LALL-PD-KC2015-173-Control-30d-CS-16S_S6_L001_R2_001	/home/mark/gitstage/uderica/nordqiime/15_Hil_CS/Bacteria/16S/LALL-PD-KC2015-173-Control-30d-CS-16S_S6_L001_R2_001_fastqc.zip
FastQC	all_sections	LALL-PD-KC2015-201-LH-LB-112d-CS-16S_S22_L001_R1_001	/home/mark/gitstage/uderica/nordqiime/15_Hil_CS/Bacteria/16S/LALL-PD-KC2015-201-LH-LB-112d-CS-16S_S22_L001_R1_001_fastqc.zip
FastQC	all_sections	LALL-PD-KC2015-176-LH-30d-CS-16S_S7_L001_R2_001	/home/mark/gitstage/uderica/nordqiime/15_Hil_CS/Bacteria/16S/LALL-PD-KC2015-176-LH-30d-CS-16S_S7_L001_R2_001_fastqc.zip
FastQC	all_sections	LALL-PD-KC2015-196-LH-112d-CS-16S_S19_L001_R1_001	/home/mark/gitstage/uderica/nordqiime/15_Hil_CS/Bacteria/16S/LALL-PD-KC2015-196-LH-112d-CS-16S_S19_L001_R1_001_fastqc.zip
